iter	Passed	Remaining
424	1935	2618
425	1939	2613
426	1944	2608
427	1948	2604
428	1953	2600
429	1958	2596
430	1962	2590
431	1967	2586
432	1971	2581
433	1975	2576
434	1980	2572
435	1985	2567
436	1989	2563
437	1993	2558
438	1999	2555
439	2003	2550
440	2007	2544
441	2011	2539
442	2016	2535
443	2020	2530
444	2024	2524
445	2028	2519
446	2033	2515
447	2037	2510
448	2041	2504
449	2045	2500
450	2049	2495
451	2053	2490
452	2057	2484
453	2062	2480
454	2066	2475
455	2070	2470
456	2074	2465
457	2079	2460
458	2083	2455
459	2087	2450
460	2091	2445
461	2096	2441
462	2100	2435
463	2104	2430
464	2108	2425
465	2113	2421
466	2117	2416
467	2121	2411
468	2126	2407
469	2131	2403
470	2135	2398
471	2139	2392
472	2144	2389
473	2148	2384
474	2152	2379
475	2156	2373
476	2161	2369
477	2165	2364
478	2169	2359
479	2173	2355
480	2178	2350
481	2182	2345
482	2186	2339
483	2190	2334
484	2194	2330
485	2198	2324
486	2202	2320
487	2206	2315
488	2211	2310
489	2215	2305
490	2219	2300
491	2224	2296
492	2228	2292
493	2233	2287
494	2237	2282
495	2241	2278
496	2245	2273
497	2249	2268
498	2254	2263
499	2258	2258
500	2262	2253
501	2266	2248
502	2270	2243
503	2276	2239
504	2280	2234
505	2284	2229
506	2288	2225
507	2292	2220
508	2296	2215
509	2300	2210
510	2305	2205
511	2309	2200
512	2313	2196
513	2318	2191
514	2322	2187
515	2326	2182
516	2330	2177
517	2334	2172
518	2339	2168
519	2344	2163
520	2348	2159
521	2352	2154
522	2356	2149
523	2360	2144
524	2365	2139
525	2369	2135
526	2373	2130
527	2378	2125
528	2382	2120
529	2386	2116
530	2391	2111
531	2394	2106
532	2398	2101
533	2403	2097
534	2407	2092
535	2411	2087
536	2415	2082
537	2420	2078
538	2424	2073
539	2428	2068
540	2432	2063
541	2437	2059
542	2442	2055
543	2445	2050
544	2450	2046
545	2455	2041
546	2459	2036
547	2463	2031
548	2468	2027
549	2472	2023
550	2477	2018
551	2481	2014
552	2486	2009
553	2490	2005
554	2494	2000
555	2499	1996
556	2503	1991
557	2507	1986
558	2511	1981
559	2516	1977
560	2520	1972
561	2524	1967
562	2528	1962
563	2533	1958
564	2537	1954
565	2542	1949
566	2546	1944
